"","celltype","condition","TRAPed","replicate","n_cells","environment_exposure","fear","recall","group"
"m5_Homecage_Excitatory_tdT-","Excitatory","Homecage","negative","m5_Homecage",32,"FALSE","FALSE","FALSE","Homecage.negative"
"m5_Homecage_Excitatory_tdT+","Excitatory","Homecage","positive","m5_Homecage",65,"FALSE","FALSE","FALSE","Homecage.positive"
"m5_Context-Only_Excitatory_tdT-","Excitatory","Context-Only","negative","m5_Context-Only",55,"TRUE","FALSE","TRUE","Context-Only.negative"
"m5_Context-Only_Excitatory_tdT+","Excitatory","Context-Only","positive","m5_Context-Only",39,"TRUE","FALSE","TRUE","Context-Only.positive"
"m2_Context-Only_Excitatory_tdT-","Excitatory","Context-Only","negative","m2_Context-Only",61,"TRUE","FALSE","TRUE","Context-Only.negative"
"m2_Context-Only_Excitatory_tdT+","Excitatory","Context-Only","positive","m2_Context-Only",101,"TRUE","FALSE","TRUE","Context-Only.positive"
"m2_Fear-Only_Excitatory_tdT-","Excitatory","Fear-Only","negative","m2_Fear-Only",113,"TRUE","TRUE","FALSE","Fear-Only.negative"
"m2_Fear-Only_Excitatory_tdT+","Excitatory","Fear-Only","positive","m2_Fear-Only",94,"TRUE","TRUE","FALSE","Fear-Only.positive"
"m1_Fear-Recall_Excitatory_tdT-","Excitatory","Fear-Recall","negative","m1_Fear-Recall",31,"TRUE","TRUE","TRUE","Fear-Recall.negative"
"m1_Fear-Recall_Excitatory_tdT+","Excitatory","Fear-Recall","positive","m1_Fear-Recall",43,"TRUE","TRUE","TRUE","Fear-Recall.positive"
"m1_Fear-Only_Excitatory_tdT-","Excitatory","Fear-Only","negative","m1_Fear-Only",8,"TRUE","TRUE","FALSE","Fear-Only.negative"
"m1_Fear-Only_Excitatory_tdT+","Excitatory","Fear-Only","positive","m1_Fear-Only",11,"TRUE","TRUE","FALSE","Fear-Only.positive"
"m3_Fear-Only_Excitatory_tdT-","Excitatory","Fear-Only","negative","m3_Fear-Only",166,"TRUE","TRUE","FALSE","Fear-Only.negative"
"m3_Fear-Only_Excitatory_tdT+","Excitatory","Fear-Only","positive","m3_Fear-Only",74,"TRUE","TRUE","FALSE","Fear-Only.positive"
"m5_Fear-Only_Excitatory_tdT-","Excitatory","Fear-Only","negative","m5_Fear-Only",50,"TRUE","TRUE","FALSE","Fear-Only.negative"
"m5_Fear-Only_Excitatory_tdT+","Excitatory","Fear-Only","positive","m5_Fear-Only",13,"TRUE","TRUE","FALSE","Fear-Only.positive"
"m5_Context-Only_2nd_mouse_Excitatory_tdT-","Excitatory","Context-Only","negative","m5_Context-Only",24,"TRUE","FALSE","TRUE","Context-Only.negative"
"m5_Context-Only_2nd_mouse_Excitatory_tdT+","Excitatory","Context-Only","positive","m5_Context-Only",66,"TRUE","FALSE","TRUE","Context-Only.positive"
"m3_Fear-Recall_Excitatory_tdT-","Excitatory","Fear-Recall","negative","m3_Fear-Recall",94,"TRUE","TRUE","TRUE","Fear-Recall.negative"
"m3_Fear-Recall_Excitatory_tdT+","Excitatory","Fear-Recall","positive","m3_Fear-Recall",222,"TRUE","TRUE","TRUE","Fear-Recall.positive"
"m2_Fear-Recall_Excitatory_tdT-","Excitatory","Fear-Recall","negative","m2_Fear-Recall",115,"TRUE","TRUE","TRUE","Fear-Recall.negative"
"m2_Fear-Recall_Excitatory_tdT+","Excitatory","Fear-Recall","positive","m2_Fear-Recall",279,"TRUE","TRUE","TRUE","Fear-Recall.positive"
"m5_Fear-Recall_Excitatory_tdT-","Excitatory","Fear-Recall","negative","m5_Fear-Recall",28,"TRUE","TRUE","TRUE","Fear-Recall.negative"
"m5_Fear-Recall_Excitatory_tdT+","Excitatory","Fear-Recall","positive","m5_Fear-Recall",69,"TRUE","TRUE","TRUE","Fear-Recall.positive"
"m4_Fear-Recall_Excitatory_tdT-","Excitatory","Fear-Recall","negative","m4_Fear-Recall",62,"TRUE","TRUE","TRUE","Fear-Recall.negative"
"m4_Fear-Recall_Excitatory_tdT+","Excitatory","Fear-Recall","positive","m4_Fear-Recall",31,"TRUE","TRUE","TRUE","Fear-Recall.positive"
"m2_Homecage_Excitatory_tdT-","Excitatory","Homecage","negative","m2_Homecage",102,"FALSE","FALSE","FALSE","Homecage.negative"
"m2_Homecage_Excitatory_tdT+","Excitatory","Homecage","positive","m2_Homecage",38,"FALSE","FALSE","FALSE","Homecage.positive"
"m3_Context-Only_Excitatory_tdT-","Excitatory","Context-Only","negative","m3_Context-Only",132,"TRUE","FALSE","TRUE","Context-Only.negative"
"m3_Context-Only_Excitatory_tdT+","Excitatory","Context-Only","positive","m3_Context-Only",91,"TRUE","FALSE","TRUE","Context-Only.positive"
"m4_Context-Only_Excitatory_tdT-","Excitatory","Context-Only","negative","m4_Context-Only",74,"TRUE","FALSE","TRUE","Context-Only.negative"
"m4_Context-Only_Excitatory_tdT+","Excitatory","Context-Only","positive","m4_Context-Only",34,"TRUE","FALSE","TRUE","Context-Only.positive"
"m3_Homecage_Excitatory_tdT-","Excitatory","Homecage","negative","m3_Homecage",44,"FALSE","FALSE","FALSE","Homecage.negative"
"m3_Homecage_Excitatory_tdT+","Excitatory","Homecage","positive","m3_Homecage",9,"FALSE","FALSE","FALSE","Homecage.positive"
"m4_Homecage_Excitatory_tdT-","Excitatory","Homecage","negative","m4_Homecage",9,"FALSE","FALSE","FALSE","Homecage.negative"
"m4_Homecage_Excitatory_tdT+","Excitatory","Homecage","positive","m4_Homecage",3,"FALSE","FALSE","FALSE","Homecage.positive"
"m4_Fear-Only_Excitatory_tdT-","Excitatory","Fear-Only","negative","m4_Fear-Only",15,"TRUE","TRUE","FALSE","Fear-Only.negative"
"m4_Fear-Only_Excitatory_tdT+","Excitatory","Fear-Only","positive","m4_Fear-Only",5,"TRUE","TRUE","FALSE","Fear-Only.positive"
